t, omega, theta, x, y
1.82, 72.0, 37.44, 0.051609375912109304, 0.03951546935014935
1.83, 72.0, 38.16, 0.05110874808888023, 0.04016087485087173
1.84, 72.0, 38.879999999999995, 0.050600049601856524, 0.04079993848389553
1.85, 72.0, 39.599999999999994, 0.05008336078042631, 0.041432559333664826
1.86, 72.0, 40.31999999999999, 0.04955876321574412, 0.04205863750201388
1.87, 72.0, 41.03999999999999, 0.04902633974784675, 0.04267807412394216
1.8800000000000001, 72.0, 41.75999999999999, 0.04848617445257185, 0.043290771383226345
1.8900000000000001, 72.0, 42.47999999999999, 0.04793835262828131, 0.043896632527866575
1.9000000000000001, 72.0, 43.19999999999999, 0.04738296078239176, 0.04449556188536476
1.9100000000000001, 72.0, 43.91999999999999, 0.04682008661771396, 0.045087464877832314
1.92, 72.0, 44.639999999999986, 0.04624981901860356, 0.045672248036925184
1.93, 72.0, 45.359999999999985, 0.04567224803692521, 0.04624981901860353
1.94, 72.0, 46.079999999999984, 0.045087464877832335, 0.04682008661771394
1.95, 72.0, 46.79999999999998, 0.044495561885364784, 0.047382960782391736
1.96, 72.0, 47.51999999999998, 0.04389663252786661, 0.04793835262828129
1.97, 72.0, 48.23999999999998, 0.04329077138322637, 0.04848617445257183
1.98, 72.0, 48.95999999999998, 0.04267807412394218, 0.04902633974784673
1.99, 72.0, 49.67999999999998, 0.0420586375020139, 0.0495587632157441
2.0, 72.0, 50.39999999999998, 0.04143255933366485, 0.05008336078042628
2.0100000000000002, 72.0, 51.120000000000005, 0.04079993848389552, 0.050600049601856524
2.02, 72.0, 51.84, 0.040160874850871726, 0.05110874808888023
2.0300000000000002, 72.0, 52.56, 0.03951546935014935, 0.0516093759121093
2.04, 72.0, 53.28, 0.038863823898738735, 0.052101854016606976
2.05, 72.0, 53.99999999999997, 0.03820604139901078, 0.052586104634371564
2.06, 72.0, 54.72, 0.0375422257224474, 0.05306205129661696
2.07, 72.0, 55.43999999999997, 0.0368724816932392, 0.05352961884584777
2.08, 72.0, 56.16, 0.03619691507173223, 0.05398873344772782
2.09, 72.0, 56.87999999999997, 0.03551563253772752, 0.05443932260273919
2.1, 72.0, 57.599999999999994, 0.03482874167363479, 0.05488131515763098
2.11, 72.0, 58.319999999999965, 0.03413635094748426, 0.05531464131665495
2.12, 72.0, 59.03999999999999, 0.033438569695797934, 0.055739232652587394
2.13, 72.0, 59.75999999999999, 0.03273550810632446, 0.056155022117534294
2.14, 72.0, 60.47999999999999, 0.032027277200638964, 0.056561944053519164
2.15, 72.0, 61.19999999999999, 0.03131398881661151, 0.05695993420285113
2.16, 72.0, 61.91999999999999, 0.030595755590746627, 0.057348929718271956
2.17, 72.0, 62.639999999999986, 0.02987269094039673, 0.057728869172880386
2.18, 72.0, 63.359999999999985, 0.02914490904585211, 0.05809969256983214
2.19, 72.0, 64.07999999999998, 0.02841252483231066, 0.058461341351814106
2.2, 72.0, 64.80000000000001, 0.02767565395172971, 0.058813758410291274
2.21, 72.0, 65.51999999999998, 0.026934412764563487, 0.05915688809452471
2.22, 72.0, 66.24000000000001, 0.02618891832138806, 0.059490676220359646
2.23, 72.0, 66.95999999999998, 0.02543928834441818, 0.05981507007878156
2.24, 72.0, 67.68, 0.02468564120891706, 0.060130018444239784
2.25, 72.0, 68.39999999999998, 0.02392809592450409, 0.06043547158273633
2.2600000000000002, 72.0, 69.12, 0.0231667721163613, 0.060731381259679786
2.27, 72.0, 69.84, 0.022401790006343607, 0.06101770074750182
2.2800000000000002, 72.0, 70.56, 0.021633270393994136, 0.06129438483303619
2.29, 72.0, 71.28, 0.020861334637468615, 0.061561389824658384
2.3000000000000003, 72.0, 72.0, 0.020086104634371583, 0.06181867355918498
2.31, 72.0, 72.72, 0.01930770280250727, 0.062066195408531796
2.32, 72.0, 73.43999999999997, 0.01852625206054848, 0.06230391628612943
2.33, 72.0, 74.16, 0.01774187580862615, 0.06253179865309558
2.34, 72.0, 74.87999999999997, 0.016954697908843335, 0.0627498065241628
