t, omega, theta, x, y
1.22, 72.0, -5.760000000000019, 0.07014181610378452, 0.033896488534671004
1.23, 72.0, -5.0400000000000205, 0.0702186845943062, 0.03470967222420167
1.24, 72.0, -4.320000000000007, 0.07028532851693992, 0.03552375764068436
1.25, 72.0, -3.6000000000000085, 0.07034173734783766, 0.03633861623059462
1.26, 72.0, -2.8800000000000097, 0.07038790217939114, 0.037154119318314964
1.27, 72.0, -2.160000000000011, 0.0704238157216383, 0.03797013812645424
1.28, 72.0, -1.440000000000012, 0.0704494723034145, 0.03878654379618305
1.29, 72.0, -0.7200000000000131, 0.07046486787324806, 0.03960320740758207
1.3, 72.0, -1.4210854715202004e-14, 0.07047, 0.040419999999999984
1.31, 72.0, 0.7199999999999989, 0.07046486787324806, 0.041236792592417915
1.32, 72.0, 1.4399999999999977, 0.0704494723034145, 0.04205345620381693
1.33, 72.0, 2.1599999999999966, 0.0704238157216383, 0.04286986187354574
1.34, 72.0, 2.8799999999999955, 0.07038790217939114, 0.04368588068168501
1.35, 72.0, 3.5999999999999943, 0.07034173734783766, 0.044501383769405364
1.36, 72.0, 4.319999999999993, 0.07028532851693992, 0.04531624235931562
1.37, 72.0, 5.039999999999992, 0.07021868459430622, 0.04613032777579829
1.3800000000000001, 72.0, 5.759999999999991, 0.07014181610378452, 0.046943511465328956
1.3900000000000001, 72.0, 6.47999999999999, 0.07005473518380055, 0.0477556650167763
1.4000000000000001, 72.0, 7.200000000000003, 0.06995745558544107, 0.04856666018167978
1.41, 72.0, 7.9199999999999875, 0.06984999267028234, 0.04937636889450146
1.42, 72.0, 8.639999999999986, 0.06973236340796442, 0.050184663292849194
1.43, 72.0, 9.359999999999985, 0.06960458637351144, 0.05099141573766742
1.44, 72.0, 10.079999999999984, 0.06946668174439836, 0.05179649883339292
1.45, 72.0, 10.799999999999983, 0.06931867129736477, 0.05259978544807208
1.46, 72.0, 11.519999999999982, 0.06916057840497605, 0.05340114873343643
1.47, 72.0, 12.23999999999998, 0.06899242803193258, 0.05420046214493353
1.48, 72.0, 12.95999999999998, 0.06881424673112753, 0.054997599461709755
1.49, 72.0, 13.679999999999993, 0.06862606263945381, 0.0557924348065421
1.5, 72.0, 14.399999999999991, 0.06842790547336103, 0.05658484266571555
1.51, 72.0, 15.11999999999999, 0.0682198065241628, 0.05737469790884329
1.52, 72.0, 15.83999999999999, 0.0680017986530956, 0.058161875808626126
1.53, 72.0, 16.559999999999988, 0.06777391628612944, 0.05894625206054843
1.54, 72.0, 17.279999999999987, 0.0675361954085318, 0.05972770280250725
1.55, 72.0, 17.999999999999986, 0.06728867355918498, 0.06050610463437157
1.56, 72.0, 18.72, 0.06703138982465838, 0.06128133463746861
1.57, 72.0, 19.439999999999998, 0.06676438483303619, 0.06205327039399413
1.58, 72.0, 20.159999999999997, 0.06648770074750182, 0.06282179000634361
1.59, 72.0, 20.879999999999995, 0.0662013812596798, 0.0635867721163613
1.6, 72.0, 21.599999999999994, 0.06590547158273635, 0.06434809592450406
1.61, 72.0, 22.319999999999993, 0.06560001844423978, 0.06510564120891706
1.62, 72.0, 23.039999999999992, 0.06528507007878158, 0.06585928834441815
1.6300000000000001, 72.0, 23.75999999999999, 0.06496067622035964, 0.06660891832138806
1.6400000000000001, 72.0, 24.47999999999999, 0.06462688809452473, 0.06735441276456346
1.6500000000000001, 72.0, 25.200000000000003, 0.06428375841029127, 0.06809565395172973
1.6600000000000001, 72.0, 25.92, 0.06393134135181412, 0.06883252483231064
1.67, 72.0, 26.639999999999986, 0.06356969256983215, 0.06956490904585208
1.68, 72.0, 27.359999999999985, 0.0631988691728804, 0.0702926909403967
1.69, 72.0, 28.079999999999984, 0.06281892971827197, 0.0710157555907466
1.7, 72.0, 28.799999999999983, 0.062429934202851145, 0.07173398881661147
1.71, 72.0, 29.519999999999982, 0.06203194405351918, 0.07244727720063893
1.72, 72.0, 30.23999999999998, 0.06162502211753431, 0.07315550810632443
1.73, 72.0, 30.95999999999998, 0.06120923265258741, 0.0738585696957979
1.74, 72.0, 31.679999999999993, 0.06078464131665498, 0.07455635094748421
1.75, 72.0, 32.39999999999999, 0.060351315157630994, 0.07524874167363477
1.76, 72.0, 33.11999999999999, 0.05990932260273923, 0.07593563253772748
1.77, 72.0, 33.83999999999999, 0.059458733447727834, 0.07661691507173221
1.78, 72.0, 34.55999999999999, 0.0589996188458478, 0.07729248169323916
1.79, 72.0, 35.27999999999999, 0.05853205129661697, 0.07796222572244738
1.8, 72.0, 35.999999999999986, 0.058056104634371594, 0.07862604139901075
1.81, 72.0, 36.72, 0.057571854016606985, 0.07928382389873873
1.82, 72.0, 37.44, 0.057079375912109306, 0.07993546935014935
1.83, 72.0, 38.16, 0.056578748088880235, 0.08058087485087173
1.84, 72.0, 38.879999999999995, 0.05607004960185653, 0.08121993848389553
1.85, 72.0, 39.599999999999994, 0.05555336078042631, 0.08185255933366482
1.86, 72.0, 40.31999999999999, 0.055028763215744125, 0.08247863750201387
1.87, 72.0, 41.03999999999999, 0.054496339747846755, 0.08309807412394216
1.8800000000000001, 72.0, 41.75999999999999, 0.05395617445257185, 0.08371077138322634
1.8900000000000001, 72.0, 42.47999999999999, 0.053408352628281315, 0.08431663252786657
1.9000000000000001, 72.0, 43.19999999999999, 0.05285296078239176, 0.08491556188536475
1.9100000000000001, 72.0, 43.91999999999999, 0.05229008661771396, 0.08550746487783231
